Local time,Open,High,Low,Close,Volume
01.08.2020 00:00:00.000 GMT+0530,1.17868,1.17879,1.17836,1.17839,598799995.4224
01.08.2020 00:05:00.000 GMT+0530,1.17839,1.17842,1.17785,1.17805,731310016.632
01.08.2020 00:10:00.000 GMT+0530,1.17806,1.17861,1.17800,1.17860,651010002.1362
01.08.2020 00:15:00.000 GMT+0530,1.17860,1.17869,1.17810,1.17812,831650009.1552
01.08.2020 00:20:00.000 GMT+0530,1.17812,1.17855,1.17807,1.17850,661930007.9345001
01.08.2020 00:25:00.000 GMT+0530,1.17851,1.17897,1.17845,1.17891,1136870002.7466002
01.08.2020 00:30:00.000 GMT+0530,1.17889,1.17919,1.17830,1.17905,1512289978.0273998
01.08.2020 00:35:00.000 GMT+0530,1.17902,1.17930,1.17895,1.17906,1130379981.9947
01.08.2020 00:40:00.000 GMT+0530,1.17907,1.17918,1.17890,1.17905,1082450012.2069001
01.08.2020 00:45:00.000 GMT+0530,1.17903,1.17919,1.17836,1.17870,585340003.9672999
01.08.2020 00:50:00.000 GMT+0530,1.17871,1.17905,1.17867,1.17896,719289993.2863
01.08.2020 00:55:00.000 GMT+0530,1.17896,1.17902,1.17868,1.17884,807880004.8829
01.08.2020 01:00:00.000 GMT+0530,1.17883,1.17885,1.17857,1.17885,656639999.3897
01.08.2020 01:05:00.000 GMT+0530,1.17884,1.17890,1.17838,1.17851,707849990.8447001
01.08.2020 01:10:00.000 GMT+0530,1.17852,1.17855,1.17814,1.17817,787230003.357
01.08.2020 01:15:00.000 GMT+0530,1.17817,1.17841,1.17766,1.17768,796869995.1172
01.08.2020 01:20:00.000 GMT+0530,1.17766,1.17792,1.17750,1.17751,971710006.7138
01.08.2020 01:25:00.000 GMT+0530,1.17753,1.17807,1.17750,1.17792,1075239990.2344
01.08.2020 01:30:00.000 GMT+0530,1.17791,1.17837,1.17784,1.17825,1372339996.3379
01.08.2020 01:35:00.000 GMT+0530,1.17824,1.17825,1.17772,1.17780,326009996.4141
01.08.2020 01:40:00.000 GMT+0530,1.17776,1.17778,1.17750,1.17758,433750003.81460005
01.08.2020 01:45:00.000 GMT+0530,1.17758,1.17761,1.17750,1.17754,275149993.8965
01.08.2020 01:50:00.000 GMT+0530,1.17753,1.17763,1.17752,1.17755,142090002.0599
01.08.2020 01:55:00.000 GMT+0530,1.17756,1.17785,1.17752,1.17774,288979995.7276
01.08.2020 02:00:00.000 GMT+0530,1.17775,1.17787,1.17763,1.17782,263339994.4304
01.08.2020 02:05:00.000 GMT+0530,1.17782,1.17783,1.17760,1.17769,217579999.92370003
01.08.2020 02:10:00.000 GMT+0530,1.17769,1.17775,1.17727,1.17739,193819995.8802
01.08.2020 02:15:00.000 GMT+0530,1.17739,1.17746,1.17701,1.17721,943589981.0792
01.08.2020 02:20:00.000 GMT+0530,1.17721,1.17734,1.17706,1.17726,609270004.2724
01.08.2020 02:25:00.000 GMT+0530,1.17722,1.17839,1.17713,1.17839,1034119991.3024
01.08.2020 02:30:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 02:35:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 02:40:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 02:45:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 02:50:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 02:55:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 03:00:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 03:05:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 03:10:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 03:15:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 03:20:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 03:25:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 03:30:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 03:35:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 03:40:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 03:45:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 03:50:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 03:55:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 04:00:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 04:05:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 04:10:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 04:15:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 04:20:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 04:25:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 04:30:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 04:35:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 04:40:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 04:45:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 04:50:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 04:55:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 05:00:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 05:05:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 05:10:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 05:15:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 05:20:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 05:25:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 05:30:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 05:35:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 05:40:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 05:45:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 05:50:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 05:55:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
