"CODE","BASE_CURRENCY","QUOTE_CURRENCY"
"AUDUSD","AUD","USD"
"AUDJPY","AUD","JPY"
"AUDNZD","AUD","NZD"
"AUDCAD","AUD","CAD"
"AUDCHF","AUD","CHF"
"CADJPY","CAD","JPY"
"CADCHF","CAD","CHF"
"CHFJPY","CHF","JPY"
"EURNOK","EUR","NOK"
"EURUSD","EUR","USD"
"EURCHF","EUR","CHF"
"EURTRY","EUR","TRY"
"EURGBP","EUR","GBP"
"EURJPY","EUR","JPY"
"EURAUD","EUR","AUD"
"EURCAD","EUR","CAD"
"EURNZD","EUR","NZD"
"EURSEK","EUR","SEK"
"GBPJPY","GBP","JPY"
"GBPNZD","GBP","NZD"
"GBPAUD","GBP","AUD"
"GBPCHF","GBP","CHF"
"GBPUSD","GBP","USD"
"GBPCAD","GBP","CAD"
"NZDCHF","NZD","CHF"
"NZDJPY","NZD","JPY"
"NZDUSD","NZD","USD"
"NZDCAD","NZD","CAD"
"TRYJPY","TRY","JPY"
"USDHKD","USD","HKD"
"USDNOK","USD","NOK"
"USDSEK","USD","SEK"
"USDZAR","USD","ZAR"
"USDMXN","USD","MXN"
"USDTRY","USD","TRY"
"USDCAD","USD","CAD"
"USDCHF","USD","CHF"
"USDJPY","USD","JPY"
"USDCNH","USD","CNH"
"ZARJPY","ZAR","JPY"
